case_number,job_title,worksite_city,worksite_state,worksite_postal_code,violentcrimesperpop,cost_of_living_2020,missing_crime_data,case_status
I-200-21123-282068,Software Programmer II,COLORADO SPRINGS,CO,80921,787.17,1.008,1,Certified
I-200-20316-907980,JAVA DEVELOPER,NEW YORK,NY,10007,1171.84,1.804,1,Certified
I-200-23269-381164,Sr. Oracle Application Developer,IRVING,TX,75039,401.73,0.973,0,Certified
I-200-24050-729796,Software Engineer,LENEXA,KS,66219,874.69,0.913,1,Certified
I-200-23312-486960,Project Manager,PLEASANTON,CA,94566,144.9,1.526,0,Certified
I-200-20240-792429,Software Engineer ,BENTONVILLE,AR,72712,116.97,0.875,0,Certified
I-200-20156-626868,Applications Software Developer,NEWARK,NJ,07105,3928.03,1.162,0,Certified
I-200-21090-187076,Grants & Budget Manager,WASHINGTON,DC,20036,3048.38,1.561,0,Certified
I-200-24040-707653,Preceptor,CAMBRIDGE,MA,02138,985.62,1.51,0,Certified
I-200-21029-041880,Assistant Professor,CHICAGO,IL,60660,599.78,1.15,1,Certified
I-200-24261-343758,Developer,CHANDLER,AZ,85224,223.64,1.049,0,Certified
I-200-21336-738402,Senior Systems Analyst JC60,PLANO,TX,75024,303.7,0.969,0,Certified
I-200-24045-716954,Financial Risk Specialists - Kbgfjg168817-6,JERSEY CITY,NJ,07302,162.1,1.804,1,Certified
I-200-22157-249548,Computer Software Developer,PEARL RIVER,NY,10965,1171.84,1.35,1,Certified
I-200-20196-711895,SOFTWARE ENGINEER,PALO ALTO,CA,94303,327.36,1.679,1,Certified
I-200-20302-889961,SOFTWARE DEVELOPMENT ENGINEER,RICHARDSON,TX,75082,272.13,0.971,0,Certified
I-200-21078-159024,"Manager, Software Engineering",NEW YORK,NY,10014,1171.84,1.804,1,Certified
I-200-19291-095946,Consultant,HOUSTON,TX,77002,599.78,0.92,1,Certified
I-200-22311-572172,Researcher 5,MINNEAPOLIS,MN,55455,1811.81,1.151,0,Certified
I-200-21104-222480,Software Engineer,MENLO PARK,CA,94025,327.36,1.678,1,Certified
I-200-22117-113915,Controls Engineer,DANVILLE,IL,61834,599.78,0.949,1,Certified
I-200-21010-004533,SAP Technical Project Manager,WAYNE,NJ,07470,125.54,1.212,0,Certified
I-200-20365-985239,Senior IT Architect,MIAMI GARDENS,FL,33169,3235.45,1.116,1,Certified
I-200-24144-029332,Systems Engineer,TEWKSBURY,MA,01876,1968.89,1.241,1,Certified
I-200-23150-061033,Software Development Manager,LOS ANGELES,CA,90010,327.36,1.411,1,Certified
I-200-24227-266116,Packaged App Development Specialist,DETROIT,MI,48226,599.78,0.962,1,Certified
I-200-24086-831283,Hospitalist,WILLIAMSPORT,PA,17701,316.55,1.009,0,Certified
I-200-23252-333561,IT Project Manager,MORRISVILLE,NC,27560,1787.2,1.05,1,Certified
I-200-19273-270173,SENIOR SOFTWARE ENGINEER,ORLANDO,FL,32821,2304.49,0.992,0,Certified
I-200-19312-134198,Software Engineer,SAN FRANCISCO,CA,94108,327.36,1.861,1,Certified
I-200-23044-768046,Senior Manager JC45,SOUTH WINDSOR,CT,06074,599.78,1.148,1,Certified
I-200-23258-349540,Applications Consultant 3,CINCINNATI,OH,45202,1562.48,0.894,0,Certified
I-200-21131-303121,Staff Pharmacist,TEXARKANA,AR,71854,1391.58,0.879,0,Certified
I-200-24220-252612,Engineering Specialist Advisor,HUDSON,OH,44236,1118.78,0.915,1,Certified
I-200-21161-386627,Software Engineer II,BELLEVUE,WA,98004,223.06,1.357,0,Certified
I-200-22166-280523,Assistant Professor,DALLAS,TX,75390,1744.19,0.973,0,Certified
I-200-22140-196622,SOFTTWARE DEVELOPER/GUIDEWIRE DEVELOPER,SCHAUMBURG,IL,60195,599.78,1.13,1,Certified
I-200-22277-508675,Software Developers,JACKSONVILLE,FL,32258,1681.08,0.9259999999999999,0,Certified
I-200-20147-601875,Business Analyst ,AUSTIN,TX,78749,599.78,1.023,0,Certified
I-200-22073-976102,QA Engineer ,HARTFORD,CT,06156,599.78,1.148,1,Certified
I-200-21169-408832,Cyber Security Risk Analyst,DALLAS,TX,75234,1744.19,0.973,0,Certified
I-200-21034-051344,Researcher,BOSTON,MA,02129,1968.89,1.51,0,Certified
I-200-24157-073830,Marketing Professional (100095.001784),PEACHTREE CORNERS,GA,30092,4026.59,,1,Certified
I-200-21229-526761,Power BI Developer,MIAMI,FL,33172,3829.21,1.116,0,Certified
I-200-20099-469952,Business Intelligence Analyst,GAINESVILLE,FL,32605,1573.82,0.9339999999999999,0,Denied
I-200-22287-529830,"Health and Safety Engineers, Except Mining Safety Engineers ",DEARBORN,MI,48120,599.78,0.962,1,Certified
I-200-24060-758650,Java Developer,PALO ALTO,CA,94304,327.36,1.679,1,Certified
I-200-24206-220052,Senior Data Engineer,CHICAGO,IL,60661,599.78,1.15,1,Certified
I-200-20092-452331,Manager - Software Engineering,ALBANY,NY,12211,1183.14,1.14,0,Certified
I-200-23200-200389,Market Analyst ,NEW YORK,NY,10001,1171.84,1.804,1,Certified
I-200-20174-672071,Director of Business Development,WESTLAKE VILLAGE,CA,91362,327.36,1.36,1,Certified
I-200-24109-902984,Hospitalist Physician,MARTINSBURG,WV,25401,387.44,1.556,0,Certified
I-200-21123-281458,"Associate Scientist, Post-Doctoral Fellow",KENILWORTH,NJ,07033,162.1,1.194,1,Certified
I-200-20255-816724,Peoplesoft Administrator,TEMPE,AZ,85281,556.4,1.049,0,Certified
I-200-21202-476592,"Sr. Engineer, Motion Planning & Controls, Autonomous Driving",NEWARK,CA,94560,809.72,1.679,0,Certified
I-200-21277-622899,Hardware Engineer 1615.66949,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-200-21204-480519,Software Developer Applications,HOUSTON,TX,77079,599.78,0.92,1,Certified
I-200-20127-548377,Assistant Brand Manager,LONG ISLAND CITY,NY,11101,1171.84,1.804,1,Certified
I-200-24046-723451,Lecturer,NORMAN,OK,73019,230.0,0.925,0,Certified
I-200-21075-151369,SOFTWARE DEVELOPMENT ENGINEER - SYSTEMS,CUPERTINO,CA,95014,349.61,1.681,0,Certified
I-200-24220-251502,TEST ARCHITECT,WAUKESHA,WI,53186,138.56,0.966,0,Certified
I-200-23320-505752,Data Engineer III,AUSTIN,TX,78758,599.78,1.023,0,Certified
I-200-20365-984139,DevOps Engineer,MARLBOROUGH,MA,01752,505.1,1.166,0,Certified
I-200-21250-568629,AMTS Software Engineer,CAMBRIDGE,MA,02140,985.62,1.51,0,Certified
I-200-20002-226707,SENIOR ORACLE DEVELOPER,NEW YORK,NY,10271,1171.84,1.804,1,Certified
I-200-22307-568089,"Senior Consultant, Analytic Scientist",SCOTTSDALE,AZ,85255,251.6,1.049,0,Certified
I-200-23058-805457,Teacher,HENDERSON,NC,27537,1770.94,1.044,0,Certified
I-200-23271-392854,ETL/REPORT DEVELOPER,WEST DES MOINES,IA,50266,91.93,0.896,1,Certified
I-200-22265-487704,Design Release Engineer,WARREN,MI,48093,599.78,0.962,1,Certified
I-200-24176-142311,Senior Software Engineer,MOUNTAIN VIEW,CA,94041,327.36,1.681,1,Certified
I-200-24115-919708,Senior Financial Analyst-FP&L,HANOVER,MD,21076,3081.26,1.108,1,Certified
I-200-22141-197613,SOFTWARE TEST ENGINEER,MIDDLETOWN,NJ,07748,68.68,1.224,0,Certified
I-200-23095-907957,Senior Staff Engineer,SAN DIEGO,CA,92121,327.36,1.35,1,Certified
I-200-23318-501168,Senior Architect I,FRAMINGHAM,MA,01702,1968.89,1.336,1,Certified
I-200-23112-957565,Programmer Analyst,ST. PETERSBURG,FL,33702,3235.45,0.945,1,Certified
I-203-21111-244963,Project Engineer,SAN FRANCISCO,CA,94105,327.36,1.861,1,Certified
I-200-23229-273553,SOFTWARE DEVELOPER,CUPERTINO,CA,95014,349.61,1.681,0,Certified
I-200-23278-411814,Engineer Senior,NORFOLK,VA,23502,1135.5,1.004,0,Certified
I-200-23251-332587,Lead Salesforce Developer,SAN FRANCISCO,CA,94105,327.36,1.861,1,Certified
I-200-21070-139885,DevOps Engineer,CARY,NC,27519,1787.2,1.051,1,Certified
I-200-24071-789767,Software Engineer,MENLO PARK,CA,94025,327.36,1.678,1,Certified
I-200-22139-192467,Lead Software Engineer,COPPELL,TX,75019,44.22,0.97,0,Certified
I-200-23292-443693,RF Design Engineer II,EDEN PRAIRIE,MN,55344,1811.81,1.149,1,Certified
I-200-21036-059602,Software Engineer - 1615.59894,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-200-21074-147717,"Software Engineer, Senior",DEDHAM,MA,02026,1968.89,1.51,1,Certified
I-200-22286-526790,Computer Systems Analysts- KBGFJG162624-4,ENGLEWOOD,CO,80112,787.17,1.125,0,Certified
I-200-23325-516391,Project Delivery Senior Analyst,NASHVILLE,TN,37203,1633.81,0.952,1,Certified
I-200-24037-698067, Data Engineer,IRVING,TX,75039,401.73,0.973,0,Certified
I-200-20042-313020,Information Security Analysts - KBOEYTEST12640-13,CHARLOTTE,NC,28202,1787.2,1.018,0,Certified
I-200-22173-303344,Software Engineer,HILLSBORO,OR,97124,228.53,1.173,0,Certified
I-200-22060-940412,SAN Storage Engineer III,PLAINSBORO,NJ,08536,162.1,1.191,0,Certified
I-200-23205-210030,Physical Therapist,SANTA BARBARA,CA,93105,327.36,1.476,1,Certified
I-200-23241-302973,Software Development Engineer III,SEATTLE,WA,98121,1399.84,1.357,0,Certified
I-200-20098-467617,Software Integration Leader,MELBOURNE,FL,32901,1461.01,0.937,0,Certified
I-200-20309-898738,SENIOR QA ANALYST,INDIANAPOLIS,IN,46225,1682.47,0.945,0,Certified
I-200-20071-397281,HOTEL REFURBISHMENT PROJECT ANALYST,MIAMI,FL,33178,3829.21,1.116,0,Certified
I-200-21202-476263,Thermal and Fluid Dynamic Analysis Engineer,ROCHESTER HILLS,MI,48309,599.78,0.978,1,Certified
I-200-20073-405824,Application Development Professional,JERSEY CITY,NJ,07311,162.1,1.804,1,Certified
I-200-23180-153409,Quality Facets Analyst,HOUSTON,TX,77036,599.78,0.92,1,Certified
I-200-21320-709186,Transportation Planner ,SAN JOSE,CA,95134,327.36,1.681,1,Certified
I-200-20219-754234,Associate Director JC40,PEORIA,AZ,85382,410.47,1.049,0,Certified
I-200-20316-907383,Software Dev Engineer I,SUNNYVALE,CA,94089,249.62,1.681,0,Certified
I-200-23290-437397,"Content Specialist, Organization Data",BRIGHTON,MA,02135,1968.89,1.51,1,Certified
I-200-21098-208319,SOFTWARE DEVELOPMENT ENGINEER IN TEST,SAN ANTONIO,TX,78288,599.78,0.891,1,Certified
I-200-19282-077320,SENIOR TEST ENGINEER,SOUTH SAN FRANCISCO,CA,94080,327.36,1.861,1,Certified
I-200-20069-390754,Data Analyst,SAN JOSE,CA,95131,327.36,1.681,1,Certified
I-200-20282-872249,Lead Scrum Master,RIVERWOODS,IL,60015,599.78,1.079,1,Certified
I-200-22117-112438,Clinical Research Coordinator B,PHILADELPHIA,PA,19104,1279.6,1.137,0,Certified
I-200-20154-619905,Manager JC50,PLANO,TX,75024,303.7,0.969,0,Certified
I-200-19364-220592,Image Quality Engineer,CUPERTINO,CA,95014,349.61,1.681,0,Certified
I-200-24142-020126,Senior Software Engineer - Stratus,NEWARK,CA,94560,809.72,1.679,0,Certified
I-200-22095-039600,Senior Software Engineer,CHESTERFIELD,MO,63017,106.93,0.938,0,Certified
I-200-24040-707232,Test Manager - III,BURLINGAME,CA,94010,273.51,1.858,0,Certified
I-200-22089-020879,"SOFTWARE ENGINEER, DEVELOPER EXPERIENCE",NEW YORK,NY,10006,1171.84,1.804,1,Certified
I-200-24157-075116,Engineer,AUBURN HILLS,MI,48326,599.78,0.989,1,Certified
I-200-20052-339845,Software Engineer (2) ,MOUNTAIN VIEW,CA,94041,327.36,1.681,1,Certified
I-200-23251-331745,Program Manager Technical,FOLSOM,CA,95630,190.95,1.07,0,Certified
I-200-23046-775476,Business Intelligence Engineer II,SEATTLE,WA,98109,1399.84,1.357,0,Certified
I-200-21364-793650,SENIOR SYSTEMS ANALYST ,ISSAQUAH,WA,98029,223.06,1.353,1,Certified
I-200-22143-200615,Senior Software Engineer,SAN FRANCISCO,CA,94158,327.36,1.861,1,Certified
I-200-21181-434493,Software Engineer  (Salesforce),SACRAMENTO,CA,95816,1290.43,1.074,0,Certified
I-200-22312-575872,Postdoctoral Associate,GAINESVILLE,FL,32610,1573.82,0.9339999999999999,0,Certified
I-200-21207-482317,Technical Specialist,REDMOND,WA,98052,143.51,1.356,0,Certified
I-200-23052-790022,Software Engineer (5),PALO ALTO,CA,94306,327.36,1.679,1,Certified
I-200-19303-116884,GIS PAYROLL SR. ANALYST - SYSTEM ANALYST,BENTON HARBOR,MI,49022,599.78,0.902,1,Certified
I-200-23083-876213,Interior Design Coordinator,LOS ANGELES,CA,90048,327.36,1.411,1,Denied
I-200-22094-036292,IT Analyst,LEWIS CENTRE,OH,43035,1118.78,0.923,1,Certified
I-200-21098-208037,Software Engineer 1615.42609,SUNNYVALE,CA,94089,249.62,1.681,0,Certified
I-200-23041-765738,LEAD II - SOFTWARE TESTING ,ATLANTA,GA,30308,4026.59,1.003,0,Certified
I-200-21096-199029,Asst Dir-Sr QA Engineer,OMAHA,NE,68114,599.78,0.971,1,Certified
I-200-20175-674953,PRODUCT QUALITY ENGINEER,CUPERTINO,CA,95014,349.61,1.681,0,Certified
I-200-24141-013192,Quality Data Analyst,MARLBOROUGH,MA,01752,505.1,1.166,0,Certified
I-200-21056-102351,Senior Engineering Manager,RICHFIELD,MN,55423,1811.81,1.151,1,Certified
I-200-20029-282462,Project Manager ,OKLAHOMA CITY,OK,73132,1304.78,0.931,1,Certified
I-200-22174-307501,Sr. Solution Design Engineer,PHILADELPHIA,PA,19103,1279.6,1.137,0,Certified
I-200-23197-192072,Manager JC50,MARSHALL,MN,56258,1811.81,0.925,1,Certified
I-200-20128-553099,Art Director,PORTLAND,OR,97202,1841.38,1.177,0,Certified
I-200-23254-336008,SOFTWARE ENGINEER,NEW YORK,NY,10018,1171.84,1.804,1,Certified
I-200-24095-855693,Manufacturing Engineer II,SCOTTSDALE,AZ,85255,251.6,1.049,0,Certified
I-200-21229-527022,Developer ,ELKHORN,NE,68022,599.78,0.966,1,Certified
I-200-22085-012290,Software Developer,FRISCO,TX,75034,599.78,0.964,1,Certified
I-200-22279-515872,SENIOR SOFTWARE TESTING ENGINEER,SAN FRANCISCO,CA,94108,327.36,1.861,1,Certified
I-200-21048-083885,Product Manager II,SUNNYVALE,CA,94089,249.62,1.681,0,Certified
I-200-21078-160716,Sr. Software Engineer,PLEASANTON,CA,94588,144.9,1.526,0,Denied
I-200-24177-145754,IT Technology Services Specialist,RESTON,VA,20191,1135.5,1.559,1,Certified
I-200-23024-723624,.Net  Developer,LEESBURG,VA,20176,1135.5,1.556,1,Certified
I-200-23310-480213,Assistant Professor,OKLAHOMA CITY,OK,73104,1304.78,0.931,1,Certified
I-200-21027-035905,Data Engineer III,BENTONVILLE,AR,72712,116.97,0.875,0,Certified
I-200-20350-961057,IT Technology Principal Consultant,SAN RAMON,CA,94583,327.36,1.564,1,Certified
I-200-23325-515890,Structural EIT,DALLAS,TX,75220,1744.19,0.973,0,Certified
I-200-24033-690717,UX/UI Designer,SUNNYVALE,CA,94086,249.62,1.681,0,Certified
I-200-22132-167415,Project Engineer,NEW YORK,NY,10027,1171.84,1.804,1,Certified
I-200-23025-724934,Systems/Software Engineer,BUFFALO GROVE,IL,60089,599.78,1.083,1,Certified
I-200-21032-045503,Lead Data Science Analyst,RIVERWOODS,IL,60015,599.78,1.079,1,Certified
I-200-22229-421041,Software Engineer ,MOUNTAIN VIEW,CA,94035,327.36,1.681,1,Certified
I-200-20295-884417,Fundamental Analyst,NEW YORK,NY,10022,1171.84,1.804,1,Certified
I-200-24067-778605,Architect,BENTONVILLE,AR,72712,116.97,0.875,0,Certified
I-200-22222-409276,Software Engineer,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-200-23160-096105,"Sr. Engineer, Software",BELLEVUE,WA,98006,223.06,1.357,0,Certified
I-200-20070-391133,Senior Manager Digital Solutions,SAN JOSE,CA,95134,327.36,1.681,1,Certified
I-200-22231-425991,Business Technology Solutions Associate Consultant,CHICAGO,IL,60601,599.78,1.15,1,Certified
I-200-20002-226100,Software Engineer,SAN FRANCISCO,CA,94103,327.36,1.861,1,Certified
I-200-21111-246222,"Associate Principal, Data Platform Technology Developer",CHICAGO,IL,60606,599.78,1.15,1,Certified
I-200-22319-588072,Software Developers,PRINSETON,NJ,08540,162.1,1.135,1,Certified
I-200-22154-240134,APPLICATION ARCHITECT/DEVELOPER,JERSEY CITY,NJ,07306,162.1,1.804,1,Certified
I-200-20073-405010,Landscape Architect,SEATTLE,WA,98121,1399.84,1.357,0,Certified
I-200-19316-141783,Validation Risk Analyst,WHITEHOUSE STATION,NJ,08889,162.1,1.276,1,Certified
I-200-24255-331548,ADVANCED SOFTWARE DEVELOPER,DALLAS,TX,75247,1744.19,0.973,0,Certified
I-203-20021-266701,Accoutant [1615.55082],SUNNYVALE,CA,94089,249.62,1.681,0,Certified
I-200-20191-704470,DevSecOps Engineer,RICHARDSON,TX,75082,272.13,0.971,0,Certified
I-200-20269-845459,Associate Professor,ANN ARBOR,MI,48109,599.78,1.067,1,Certified
I-200-23251-332339,Software Engineer,JERICHO,NY,11753,1171.84,1.685,1,Certified
I-200-24078-808476,Software Developer,ATLANTA,GA,30342,4026.59,1.003,0,Certified
I-200-22096-041905,Software Developer,NAPERVILLE,IL,60540,599.78,1.099,1,Certified
I-200-22147-218111,UX DESIGNER,ST. LOUIS,MO,63105,106.93,0.944,1,Certified
I-200-22306-563503,Technology Lead - US,SAN JOSE,CA,95125,327.36,1.681,1,Certified
I-200-22336-617087,Advisory Senior Manager,SANTA CLARA,CA,95051,327.36,1.681,1,Certified
I-200-22151-227040,SOFTWARE DEVELOPER,HOUSTON,TX,77070,599.78,0.92,1,Certified
I-200-20344-947003,Data Scientist,NOVI,MI,48375,599.78,1.062,1,Certified
I-200-23024-722456,Staff Scientist,BETHESDA,MD,20892,3081.26,1.561,1,Certified
I-200-24074-797979,Quality Control Chemist,HAUPPAUGE,NY,11788,1171.84,1.66,1,Certified
I-200-20069-390175,System Consultant,HOUSTON,TX,77064,599.78,0.92,1,Certified
I-200-19330-166810,Software Engineer 1615.54231,KIRKLAND,WA,98033,221.18,1.357,0,Certified
I-203-23326-520231,AI Senior Machine Learning Scientist,CHICAGO,IL,60606,599.78,1.15,1,Certified
I-200-22160-263790,SOFTWARE DEVELOPER,BELLEVUE,WA,98008,223.06,1.357,0,Certified
I-200-20280-859362,Senior Manager JC45,CONCORD,NC,28027,728.37,0.966,0,Certified
I-200-21155-371794,Senior Pricing Analyst,MIDVALE,UT,84047,493.73,1.0,0,Certified
I-200-21284-635932,Senior Engineer,SUNRISE,FL,33323,517.18,1.114,0,Certified
I-200-20217-750412,Senior Solution Architect ,CARMEL,IN,46032,123.07,0.943,0,Certified
I-200-24054-742390,Senior Principal Consultant,IRVING,TX,75063,401.73,0.973,0,Certified
I-200-20160-633524,PROGRAMMER ANALYST,PHOENIX,AZ,85054,1097.07,1.051,0,Certified
I-200-24053-740866,Software Engineer II,ATLANTA,GA,30318,4026.59,1.003,0,Certified
I-200-22209-382052,Software Developer,CHANDLER,AZ,85249,223.64,1.049,0,Certified
I-200-22111-093010,Staff Engineer,IRVINE,CA,92618,111.68,1.358,0,Certified
I-200-20190-700924,Business Operations Analyst,SAN MATEO,CA,94403,327.36,1.712,1,Certified
I-200-20027-276377,IT PROJECT MANAGER - III,WEST TRENTON,NJ,08628,162.1,1.136,1,Certified
I-200-23097-913115,Staff Software Engineer,DALLAS,TX,75202,1744.19,0.973,0,Certified
I-200-22154-243993,Product Manager,SAN MATEO,CA,94403,327.36,1.712,1,Certified
I-200-20099-469719,PHYSICAL THERAPIST,DALLAS,TX,75234,1744.19,0.973,0,Certified
I-200-24024-662949,Software Engineer,BOSTON,MA,02215,1968.89,1.51,0,Certified
I-200-23285-426727,Technical Lead L1,MEMPHIS,TN,38118,1633.81,0.839,0,Certified
I-200-24095-855396,Product Manager III - Technical,BELLEVUE,WA,98004,223.06,1.357,0,Certified
I-200-22061-945830,Security Engineer ,PORTLAND,OR,97214,1841.38,1.177,0,Certified
I-200-23285-427296,Software Developer,FORT WAYNE,IN,46825,1682.47,0.92,1,Certified
I-200-23033-746583,BI ETL Developer ,MARYLAND HEIGHTS,MO,63043,106.93,0.941,1,Certified
I-200-23059-809968,"Sr. Software Engineer, Machine Learning",SUNNYVALE,CA,94085,249.62,1.681,0,Certified
I-200-23053-792950,Software Engineer,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-200-20304-892845,DATABASE (CLOUD SOLUTIONS) ADMINISTRATOR/ARCHITECT,MIAMI,FL,33178,3829.21,1.116,0,Certified
I-200-23265-374770,Software Developer,PRINCETON,NJ,08540,73.73,1.135,0,Certified
I-200-23223-257323,Lead - Programmer Analyst,NEW YORK,NY,10038,1171.84,1.804,1,Certified
I-200-22088-019088,Analyst,NEW YORK,NY,10022,1171.84,1.804,1,Certified
I-200-20324-919401,Architect (Healthcare Studio - non-licensed),SAN FRANCISCO,CA,94111,327.36,1.861,1,Certified
I-200-21314-698359,Senior Scientist,NEW YORK,NY,10014,1171.84,1.804,1,Certified
I-200-21305-679243,NIAR Research Engineer,WICHITA,KS,67260,874.69,0.879,0,Certified
I-200-21111-245536,Software Engineer,SAN JOSE,CA,95110,327.36,1.681,1,Certified
I-200-23298-455181,SOFTWARE ENGINEER III,SUNNYVALE,CA,94086,249.62,1.681,0,Certified
I-200-23152-069478,"AVP, Data and Analytics",NEW YORK,NY,10165,1171.84,1.804,1,Certified
I-200-21013-011697,Project Manager,MALVERN,PA,19355,1262.47,1.126,1,Certified
I-200-20190-702958,Manager JC50,TAMPA,FL,33625,3235.45,0.944,0,Certified
I-200-24108-897115,Programmer Analyst,NEW ALBANY,OH,43054,1118.78,0.924,1,Certified
I-200-20324-920428,Associate Professor - Nursing Division,KETTERING,OH,45429,134.19,0.868,0,Certified
I-200-21202-476739,Process Engineer ,PHOENIX,AZ,85021,1097.07,1.051,0,Certified
I-200-24095-858343,Sr. Tax Manager,SAN JOSE,CA,95134,327.36,1.681,1,Certified
I-203-23124-992900,Audit Senior Manager,DENVER,CO,80202,1038.27,1.125,0,Certified
I-200-21222-511430,Account Technologist (Materials Engineer),SANTA CLARA,CA,95054,327.36,1.681,1,Certified
I-200-23109-947357,Audit & Assurance Assistant,SAN JOSE,CA,95113-2303,327.36,,1,Certified
I-200-22228-419446,Physician (Neurology Hospitalist),DAYTONA BEACH,FL,32117,3235.45,0.9299999999999999,1,Certified
I-200-20216-748406,SENIOR ENGINEER-EMBEDDED,ENGLEWOOD,CO,80112,787.17,1.125,0,Certified
I-200-23055-803275,Software Engineer,PLYMOUTH,MI,48170,599.78,1.064,1,Certified
I-200-22150-223526,Software Developer,JOHNS CREEK,GA,30097,4026.59,0.998,1,Certified
I-200-24159-082659,Portfolio Risk Manager,PASADENA,CA,91101,1280.74,1.411,0,Certified
I-200-20191-705033,Staff Software Engineer,REDWOOD CITY,CA,94063,327.36,1.629,1,Certified
I-200-20022-267884,Computer Systems Analyst 3,HARTFORD,CT,06183,599.78,1.148,1,Certified
I-200-20245-798433,Instructor,LITTLE ROCK,AR,72202,116.97,0.916,1,Certified
I-200-21013-011389,Hydraulic Structures Engineer,FOLSOM,CA,95630,190.95,1.07,0,Certified
I-200-21175-425201,Software Engineer 3,SAN JOSE,CA,95131,327.36,1.681,1,Certified
